TimeStamp,SCA_ENG,RAW_ENG,MIN_ENG,MAX_ENG,ACT_ENG,SCA_VAL,RAW_VAL,MIN_VAL,MAX_VAL,ACT_VAL,SCA_MED,RAW_MED,MIN_MED,MAX_MED,ACT_MED,SCA_FRU,RAW_FRU,MIN_FRU,MAX_FRU,ACT_FRU,SCA_FOC,RAW_FOC,MIN_FOC,MAX_FOC,ACT_FOC,SCA_EXC,RAW_EXC,MIN_EXC,MAX_EXC,ACT_EXC,SCA_LEX,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4
1554499923.25406,0.747146,-0.423113,-1.09026,-0.13024,1,0.680405,32.846,-32.5015,40.9493,1,0.302941,0.1,-0.090215,0.48043,0,0.914188,55.8546,-10.7438,57.585,0,0.550066,0.550066,0,1,1,0.999792,7.77121,2.31325,7.77235,0,0.356663,3,3,0,3,4,4,3,4,4,1,4,4,4,4
1554499933.34164,0.62102,-0.504598,-1.08933,-0.130219,1,0.744429,16.9891,-32.7797,41.1808,1,0.302941,0.1,-0.090215,0.48043,0,0.92193,58.6357,-10.9689,58.9707,0,0.716037,0.716037,0,1,1,0.96737,7.61447,2.28859,7.79411,1,0.586554,4,3,1,4,4,4,3,4,4,1,4,4,4,4
1554499943.42821,0.696807,-0.33502,-1.0877,-0.130836,1,0.589645,8.90589,-32.7144,41.147,1,0.302941,0.1,-0.0892755,0.478552,0,0.875499,59.002,-12.012,67.7695,0,0.748127,0.748127,0,1,1,0.701553,6.151,2.28859,7.79411,1,0.727355,4,3,1,4,4,4,3,4,4,1,4,4,4,4
1554499953.51486,0.747434,-0.53433,-1.08779,-0.128373,1,0.54921,7.18102,-32.6722,41.0778,1,0.302941,0.1,-0.0872797,0.47456,0,0.89208,77.7456,-12.3849,81.1969,1,0.840969,0.840969,0,1,1,0.744309,6.40071,2.29989,7.80856,1,0.74433,4,3,1,4,4,4,3,4,4,1,4,4,4,4
1554499963.60180,0.284857,-0.988326,-1.08935,-0.127622,1,0.57644,8.79533,-32.6209,41.0054,1,0.302941,0.1,-0.0862798,0.47256,0,0.8768,116.199,-24.0865,132.402,1,0.895211,0.895211,0,1,1,0.654266,5.91496,2.30914,7.82038,1,0.799633,4,3,1,4,4,4,3,4,4,1,4,4,4,4
1554499973.68872,0.33834,-0.535898,-1.09616,-0.125308,1,0.741373,23.0645,-32.6147,40.998,1,0.302941,0.1,-0.085631,0.471262,0,0.551132,71.8282,-20.952,149.797,0,0.713869,0.713869,0,1,1,0.279361,3.84984,2.31013,7.82211,1,0.688652,4,3,1,4,4,4,3,4,4,1,4,4,4,4
1554499983.78329,0.624245,-0.447258,-1.09567,-0.126304,1,0.708598,20.0946,-32.6866,41.0969,1,0.302941,0.1,-0.085631,0.471262,0,0.406541,51.5236,-20.9123,149.806,0,0.59337,0.59337,0,1,1,0.27897,3.85858,2.31905,7.83765,1,0.522035,4,3,1,4,4,4,3,4,4,0,4,4,4,4
1554499993.86986,0.678309,-0.373045,-1.09432,-0.126741,1,0.697757,15.5847,-32.8136,41.2525,1,0.302941,0.1,-0.085631,0.471262,0,0.35827,44.1262,-20.7297,148.588,1,0.51739,0.51739,0,1,1,0.535191,5.27256,2.31905,7.83765,1,0.455999,4,3,1,4,4,4,3,4,4,0,4,4,4,4
1554500003.95681,0.81117,-0.440324,-1.09473,-0.124042,1,0.520106,6.96488,-32.8526,41.2368,1,0.302941,0.1,-0.085391,0.470781,0,0.28187,29.784,-21.2887,141.91,1,0.551481,0.551481,0,1,1,0.88291,7.19532,2.32544,7.84085,1,0.531014,4,3,1,4,4,4,3,4,4,1,4,3,4,4
1554500014.02009,0.687516,-0.436836,-1.09444,-0.122496,1,0.658015,14.9863,-32.8012,41.1826,1,0.302941,0.1,-0.085231,0.470461,0,0.267521,26.5301,-21.7365,139.934,0,0.606202,0.606202,0,1,1,0.495457,5.0653,2.33502,7.84565,1,0.570029,4,3,1,4,4,4,3,4,4,1,4,4,4,4
1554500024.11285,0.692055,-0.382773,-1.09297,-0.12267,1,0.613465,9.82993,-32.7216,41.1294,1,0.302941,0.1,-0.085231,0.470461,0,0.265143,26.1372,-21.7365,139.934,0,0.617978,0.617978,0,1,1,0.463995,4.89192,2.33502,7.84565,1,0.553163,4,3,1,4,4,4,3,4,4,1,4,4,4,4
1554500034.20853,0.748986,-0.402994,-1.09213,-0.121625,1,0.679544,21.9205,-32.6593,41.0759,1,0.302941,0.1,-0.0849126,0.469824,0,0.264857,26.0897,-21.7365,139.934,0,0.573889,0.573889,0,1,1,0.259675,3.77625,2.35633,7.8208,0,0.507228,4,3,1,4,4,4,3,4,4,1,4,4,4,4
1554500044.30268,0.651437,-0.465454,-1.09112,-0.121479,1,0.822634,32.5904,-33.1724,41.5012,1,0.302941,0.1,-0.084833,0.469665,0,0.264823,26.084,-21.7365,139.934,0,0.530511,0.530511,0,1,1,0.116737,3.00106,2.36546,7.81015,0,0.410676,4,3,1,4,4,4,3,4,4,1,4,3,4,4
1554500054.38976,0.719332,-0.375451,-1.08967,-0.121343,1,0.616409,10.6523,-33.1633,41.5157,1,0.302941,0.1,-0.084833,0.469665,0,0.264818,26.0833,-21.7365,139.934,0,0.446737,0.446737,0,1,1,0.256296,3.76092,2.36546,7.81015,1,0.28974,4,3,1,4,4,4,3,4,4,1,4,3,4,4
1554500064.47662,0.720202,-0.429823,-1.08882,-0.120265,1,0.605428,10.6426,-33.0795,41.4431,1,0.302941,0.1,-0.0843595,0.468719,0,0.406561,45.3041,-20.5343,137.528,1,0.493292,0.493292,0,1,1,0.918928,7.37474,2.3536,7.8188,1,0.384342,4,3,1,4,4,4,3,4,4,1,4,3,4,4
1554500074.54068,0.633204,-0.409423,-1.0874,-0.120243,1,0.656972,16.2218,-33.0034,41.3776,1,0.302941,0.1,-0.083966,0.467933,0,0.551049,65.0138,-16.6081,134.189,0,0.643248,0.643248,0,1,1,0.933404,7.46577,2.3358,7.83178,1,0.543715,4,3,0,4,4,4,3,4,4,1,4,3,4,4
